model,mae,mape,rmse
Naive,1735.7265,1.8886470704953813,2434.5042109806473
"ARIMA(1,1,35)",1891.6622814289378,2.0635881772880995,2546.2573911142767
"ARIMA(0,1,0)",1735.7265,1.894493822955403,2434.5042109806473
Prophet,2582.551322013662,2.8714476465904903,3621.7030759403315
XGBoost,4319.031819349316,4.609317070519248,5555.304515870055
LSTM,2432.9655607876707,2.645095454112603,3192.781095763142
